
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 48.838 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.625	6.324	
Aelurodon_asthenostylus	19.922	13.806	
Aelurodon_ferox	21.946	7.208	
Aelurodon_mcgrewi	21.01	13.674	
Aelurodon_montanensis	15.023	15.023	
Aelurodon_stirtoni	15.498	10.436	
Aelurodon_taxoides	19.018	5.666	
Aelurodon_wheelerianus	18.907	18.907	
Alopex	0.057	0.057	
Alopex_lagopus	1.618	0.004	
Archaeocyon_falkenbachi	25.028	25.028	
Archaeocyon_leptodus	32.44	20.8	
Archaeocyon_pavidus	33.046	25.462	
Borophaginae	23.542	6.699	
Borophagus	9.937	2.372	
Borophagus_diversidens	4.874	1.826	
Borophagus_dudleyi	4.126	4.126	
Borophagus_hilli	15.748	2.981	
Borophagus_littoralis	19.676	10.573	
Borophagus_orc	9.981	4.487	
Borophagus_parvus	8.764	4.902	
Borophagus_pugnator	12.705	6.417	
Borophagus_secundus	19.503	5.001	
Caedocyon_tedfordi	21.129	21.129	
Canidae	36.645	0.024	
Caninae	26.13	0.04	
Canini	9.384	1.829	
Canis	11.837	0.002	
Canis_(Pseudalopex)	1.59	0.03	
Canis_adustus	3.307	0.005	extant
Canis_anthus	0.727	0.531	extant
Canis_apolloniensis	1.716	1.716	
Canis_armbrusteri	1.808	0.019	
Canis_aureus	3.431	0.006	extant
Canis_cedazoensis	0.559	0.559	
Canis_dirus	2.465	0.016	
Canis_edwardii	18.132	0.323	
Canis_familiaris	1.586	0.003	extant
Canis_ferox	9.398	2.044	
Canis_latrans	4.899	0.004	extant
Canis_lepophagus	6.577	0.065	
Canis_lupus	3.29	0.002	extant
Canis_mesomelas	4.41	0.001	extant
Canis_proplatensis	1.767	1.767	
Canis_rufus	4.509	0.102	extant
Canis_thooides	4.289	4.289	
Carpocyon	14.251	8.586	
Carpocyon_compressus	15.885	9.922	
Carpocyon_limosus	9.717	8.953	
Carpocyon_robustus	22.703	9.843	
Carpocyon_webbi	14.859	5.03	
Cerdocyon_avius	4.36	4.178	
Cerdocyon_texanus	8.87	2.039	
